Artists,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Sam Feldt ,Post Malone,36orMWv2PgvnzXsd5CJ0yL,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356
Quality Control ,100 Racks (Offset feat. Playboi Carti),4T2dHb8XBYHlVj7Dyo1cW9,0.939,0.632,1,-2.978,1,0.137,0.0606,0.00136,0.101,0.364,133.979
Drake ,God's Plan,6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169
Francis and the Lights ,May I Have This Dance (Remix),0VaIsQoIQY10uxBrOyZ5cQ,0.784,0.435,8,-9.197,1,0.0647,0.464,5.27e-06,0.0913,0.865,90.033
Future ,Trapped In The Sun,6QeUzTuBoasiii8nevDciq,0.701,0.546,6,-5.918,0,0.133,0.435,0.0,0.188,0.118,151.9
Kiiara ,Intention,6FhQ6UH6m0mlXRLFiyehFR,0.571,0.658,9,-7.061,0,0.0559,0.127,0.000223,0.76,0.505,90.074
Pentatonix ,Winter Wonderland / Don't Worry Be Happy,2kPpxNSgXRvu5yqkRLKJIu,0.61,0.397,6,-8.506,1,0.0504,0.28,0.0,0.0833,0.718,129.761
H.E.R. ,I Can't Breathe,4CPszpSnlbgnQLIQYyzIR2,0.703,0.705,1,-6.676,0,0.34,0.135,1.97e-06,0.0611,0.601,138.227
Bo Burnham ,Look Who’s Inside Again,0lZZ8pibk6Zu3M9hTthk1a,0.643,0.331,2,-9.235,1,0.0387,0.761,0.0,0.373,0.648,160.006
Kendrick Lamar ,BLOOD.,1n4jwRVXdkK2U34nBDUKKT,0.357,0.238,8,-16.78,0,0.265,0.142,0.0859,0.55,0.494,156.907
5 Seconds of Summer ,Permanent Vacation,691NxyycrqSWH5vZ19Jzm2,0.548,0.938,8,-4.073,1,0.0535,0.00243,0.0,0.353,0.744,155.038
Giveon ,Lost Me,6TSO4hwz9WGrEUY7ABGVim,0.428,0.443,2,-8.955,0,0.101,0.525,1.76e-05,0.219,0.2,87.934
Joey Bada$$ ,Make Me Feel,0iN3vsrlFuwsRcY63u6aZw,0.645,0.874,0,-5.565,0,0.254,0.0339,0.0,0.14,0.605,91.922
N.E.R.D ,Don't Don't Do It!,2svutFGaCycRmYc1mWbfQh,0.799,0.871,2,-5.784,1,0.138,0.12,0.0,0.0688,0.811,77.013
Halsey ,Still Learning,2Mfv5HaqnI18Q9JRv9hqnn,0.708,0.661,0,-6.543,0,0.0546,0.0396,0.000244,0.113,0.317,102.046
Lil Wayne ,Get Outta My Head (ft. XXXTentacion),3Fr6yG5mUHUBqmZ1iDbk7C,0.547,0.544,5,-8.033,0,0.508,0.2,0.0,0.129,0.491,101.913
Stevie Wonder ,Superstition  Single Version,1h2xVEoJORqrg71HocgqXd,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499
Twenty One Pilots ,Level of Concern,6xZ4Q2k2ompmDppyeESIY8,0.754,0.583,4,-7.34,0,0.0432,0.32,0.00015,0.144,0.77,122.012
Big Sean ,Dark Sky (Skyscrapers),6ltwanTt7xjvZ3rPayPppS,0.694,0.748,8,-6.102,1,0.265,0.515,0.0,0.251,0.662,142.191
Destiny's Child ,Carol of the Bells a.k.a Opera of the Bells,3dlQvwebW9lJQy5mYy1T5Y,0.621,0.204,7,-8.965,1,0.0346,0.873,0.0,0.107,0.225,92.839
Daniel Caesar ,Get You,7zFXmv6vqI4qOt4yGf3jYZ,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038
Ritt Momney ,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066
One Direction ,A.M.,5omYVLodGmaxnhua99xIE8,0.586,0.527,3,-4.905,1,0.0309,0.227,0.0,0.0963,0.506,141.839
ScHoolboy Q ,Attention,1yYnT37zbmhaH6q3dVud0w,0.739,0.798,11,-7.971,1,0.414,0.154,0.0096,0.126,0.668,154.148
Lauv ,All 4 Nothing (I'm So In Love),7I5WT7DtpwSAhEeDLpZEfm,0.72,0.819,1,-4.588,1,0.0362,0.0411,0.0,0.0606,0.898,131.99
$uicideboy$ ,All Dogs Go To Heaven,1DoBPOlB884EHiftB46QGx,0.884,0.903,6,-3.672,0,0.2,0.274,0.00037,0.302,0.839,75.022
Bing Crosby ,Adeste Fideles,04DYwFIKeq2Bkn9aqSI9PC,0.206,0.253,4,-12.639,1,0.033,0.981,0.00418,0.295,0.432,165.234
Carly Rae Jepsen ,Higher,3MXDEDLmQPSQvoyJIYbIp3,0.647,0.874,1,-4.565,0,0.0575,0.00905,0.000276,0.373,0.444,113.973
BTS ,Trivia 轉 : Seesaw,0mZI1NpihIVcho2f9MmqSW,0.707,0.791,5,-4.483,0,0.035,0.179,0.0,0.102,0.674,106.985
James Arthur ,Rewrite The Stars,6mQLN3zRtAp6ovjusyYKrV,0.67,0.743,10,-4.993,1,0.0393,0.237,0.0,0.465,0.571,125.944
Robyn ,Missing U,5mE2RcGPPbE4gNoLB6FYPf,0.702,0.666,5,-8.307,0,0.0463,0.0472,0.000119,0.139,0.109,119.93
Taylor Swift ,I Bet You Think About Me,4CkgMiMqZ5JzW9iYXSTMTL,0.391,0.715,0,-4.516,1,0.0495,0.167,0.0,0.183,0.473,149.654
YoungBoy Never Broke Again ,Break Or Make Me,7CK0O8SL6liw5eoHCRAcJf,0.723,0.549,5,-6.743,1,0.0641,0.658,0.0,0.0886,0.526,149.991
G,Eazy  Down,7xq3uN2toVZ8IbNzfTucyJ,0.538,0.624,11,-8.794,1,0.325,0.000175,2.2e-06,0.117,0.409,102.346
The Carters ,713,2PPJ49WjSLWpMkGrAEsprg,0.498,0.666,6,-5.907,0,0.381,0.186,0.0,0.0794,0.399,177.844
Sia ,Chandelier,2s1sdSqGcKxpPr5lCl7jAV,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089
One Direction ,Spaces,4lrC9aBnzlG9U5DDoHMnyt,0.425,0.668,9,-7.542,1,0.0474,0.231,0.0,0.0681,0.351,149.924
Taylor Swift ,Come Back...Be Here (Taylor's Version),4pNApnaUWAL2J4KO2eqokq,0.46,0.632,4,-6.031,1,0.0302,0.0158,0.0,0.0822,0.399,79.846
Nicki Minaj ,Bed,3L4GsGLgxpHieVQH86H8bv,0.757,0.73,7,-6.304,1,0.185,0.0342,5.87e-05,0.136,0.452,90.013
Harry Styles ,Daylight,51Zw1cKDgkad0CXv23HCMU,0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,0.626,145.5
Eminem ,Favorite Bitch,2KBRNUt33CrlaFPEz4bQYs,0.626,0.835,1,-5.842,1,0.319,0.0331,0.0,0.345,0.681,172.063
Florence + The Machine ,Sky Full Of Song,64fzn2ewOdSH57wrxTPGov,0.533,0.32,8,-8.819,1,0.0316,0.731,1.65e-05,0.154,0.291,98.036
